1,2,7.14739
1,8,3.35075
1,10,0.722785
1,11,0.0736671
1,13,4.04394
2,9,4.47137
2,14,0.811042
2,16,7.22578
2,18,6.81631
2,21,8.02457
2,24,10.3274
3,9,2.32725
3,12,3.68626
3,17,2.5823
3,18,3.11286
3,21,2.87259
4,5,1.25429
4,15,2.31463
4,16,2.65367
4,19,2.80886
4,22,3.50016
4,23,3.27417
4,24,3.42314
5,16,2.41459
5,19,2.56978
5,20,3.01264
5,22,3.26108
5,23,3.03508
5,24,3.18406
6,12,3.46047
6,14,2.94565
6,17,2.35651
6,18,2.88706
6,21,2.6468
7,15,2.08415
7,16,2.4232
7,19,2.57839
7,23,3.04369
7,24,3.19267
8,1,2.20007
8,10,2.64685
8,12,0.411632
8,13,5.96801
8,15,6.8967
9,6,1.27685
9,17,3.03926
9,18,3.56981
9,21,3.32955
10,1,0.511931
10,2,7.38332
10,11,0.309597
10,13,4.27987
11,2,6.98591
11,8,3.18927
11,10,0.561303
11,13,3.88246
12,1,4.77004
12,6,2.01464
12,11,2.98597
12,17,3.77705
12,21,4.06734
13,10,1.17426
13,17,6.70321
13,20,11.2466
13,22,10.7286
13,23,9.4857
14,8,0.129709
14,17,3.58063
14,18,4.11118
14,19,8.69555
14,21,3.87092
15,4,1.72633
15,20,3.41123
15,22,3.65967
15,23,3.43367
15,24,3.58265
16,4,1.80933
16,19,3.05137
16,20,3.49423
16,22,3.74267
16,24,3.66565
17,3,1.48037
17,12,3.98547
17,18,3.41206
17,21,3.1718
18,3,1.81863
18,6,1.45736
18,9,2.96472
18,14,3.80891
18,21,3.51006
19,5,1.48978
19,20,3.48722
19,22,3.73566
19,23,3.50966
19,24,3.65863
20,4,2.11536
20,15,2.86316
20,16,3.20221
20,19,3.3574
20,22,4.0487
20,23,3.8227
20,24,3.97168
21,3,1.64094
21,9,2.78703
21,14,3.63122
21,17,3.04208
21,18,3.57263
22,5,1.73313
22,7,1.78752
22,19,3.28771
22,20,3.73057
22,23,3.75301
22,24,3.90198
23,7,1.5859
23,16,2.9309
23,20,3.52895
23,22,3.77739
23,24,3.70036
24,7,1.57608
24,15,2.58204
24,20,3.51914
24,22,3.76757
24,23,3.54158
